title,ready_in_minutes,prep_minutes,cook_minutes,servings,health_score,calories,carbs_g,fiber_g,sugar_g,protein_g,fat_g,ingredient_count,ingredients
Easy Naan Bread with Garlic Butter,70,8,2,8,2.0,256.41,31.3,1.3,1.08,5.56,12.02,0,
Fall Apple Yeast Bread,95,,,12,2.0,323.16,55.49,2.07,23.28,5.32,9.12,0,
Simple Blueberry Bread,45,,,6,2.0,473.46,71.81,2.02,38.12,7.51,18.21,0,
Blackberry Bread,45,,,16,2.0,163.43,25.45,2.54,15.36,4.21,5.24,0,
"Focaccia with Tomato, Green Onion and Garlic",45,,,8,2.0,412.29,63.13,2.58,4.06,11.27,13.68,0,
Skillingsbollar - Norwegian Cinnamon and Sugar Rolls,45,,,24,2.0,319.24,51.82,1.47,19.38,5.83,10.06,0,
Jalapeno Cheese Cornbread,45,,,12,1.0,138.57,18.66,1.63,3.86,3.98,5.59,0,
Raspberry Jam Swirled Buns,45,,,30,1.0,159.92,28.23,0.83,8.38,3.61,3.46,0,
Maple-Bacon Corn Muffins,45,,,12,1.0,222.98,35.27,1.81,9.49,5.71,6.52,0,
Simit (Turkish Circular Bread),45,,,8,40.0,429.38,46.5,3.7,3.93,8.7,23.85,0,
Rosemary and Red Onion Focaccia,45,,,16,7.0,140.96,24.67,1.07,0.54,3.44,2.98,0,
Braided Sweet Bread,45,,,5,2.0,370.82,33.66,0.72,23.63,7.78,23.48,0,
Blueberry Almond Crescent Rolls,30,,,8,0.0,183.34,36.93,,7.54,2.79,11.61,0,
Rooibos Vanilla Sweet Rolls,45,,,24,1.0,321.43,34.96,0.88,14.17,3.64,18.85,0,
Light Brioche Buns,150,,,8,8.0,350.85,46.79,4.17,4.51,11.3,13.53,0,
Honey Sweet Corn Bread,45,,,12,0.0,139.87,25.14,1.54,7.38,2.91,3.18,0,
Banana Walnut Cinnamon Bread,45,,,8,1.0,326.8,44.17,1.78,22.59,4.81,15.28,0,
Saffron Buns - Swedish Lussebullar,45,,,100,0.0,117.43,28.9,2.22,1.25,1.51,0.61,0,
La Fouace Nantaise - A Traditional Rum-Infused Brioche,45,,,48,0.0,70.31,9.26,0.37,1.2,1.88,2.33,0,
Eggless Ginger & Mango Bread,45,,,4,40.0,464.23,101.75,7.71,25.34,9.87,3.66,0,
Simple Garlic Butter Naan,30,,,4,5.0,446.07,51.52,1.75,2.25,13.21,20.69,0,
Corn Bread,45,,,8,6.0,362.95,54.71,4.79,10.24,10.86,11.67,0,
Grape and Rosemary Focaccia,90,,,24,8.0,131.0,19.19,0.96,0.71,2.87,4.72,0,
Winter Fattoush Salad,45,,,6,100.0,345.17,49.67,18.6,4.89,17.39,9.43,0,
Venison Sliders,45,,,6,100.0,550.85,57.53,5.65,7.78,58.05,10.04,0,
Mushroom Hummus Crostini,30,,,4,92.0,450.17,72.38,8.43,8.03,20.54,10.35,0,
Crab Salad Stuffed Pita Pockets,25,,,2,88.0,417.83,53.99,5.34,6.52,38.75,6.4,0,
Grilled Chicken Gyros With Tzatziki,75,,,2,82.0,777.91,60.6,7.31,18.63,82.15,22.46,0,
Golden Beet Panzanella,70,,,4,81.0,442.11,50.52,11.75,27.13,11.53,23.98,0,
White Bean and Garlic Soup with Spinach and Crispy Prosciutto and Rosemary-Garlic Toasts,60,,,4,80.0,808.38,107.31,15.05,7.49,37.64,27.64,0,
Spinach and Gorgonzola Stuffed Flank Steak,45,,,4,79.0,523.46,18.35,2.36,2.13,47.0,28.44,0,
Grilled Broccoli with Garlic Roasted Red Pepper Sauce,30,,,6,78.0,257.5,24.1,7.92,5.94,9.9,16.09,0,
Italian String Beans With Anchovies and Breadcrumbs,45,,,2,72.0,590.97,67.17,10.04,19.05,15.13,31.07,0,
"Salmon with Lime Crust, Peas, and Sweet Potatoes",50,,,4,67.0,496.88,43.21,8.91,9.87,41.2,17.42,0,
Roma Tomato Bruschetta,45,,,4,61.0,445.71,62.82,5.28,12.19,12.75,16.9,0,
Classic Delicious Artichokes,60,,,4,60.0,429.2,56.13,9.88,4.86,15.64,17.18,0,
Korean-Style Hamburg Steak w Tomato Gravy,45,,,2,60.0,1242.86,66.01,8.62,38.68,68.87,80.19,0,
Salmon and Prawn Croquettes With Lemony Jalapeno Mayonnaise,45,,,6,59.0,1118.98,23.81,1.68,1.65,82.68,75.11,0,
Meatball Subs,45,,,4,58.0,1006.3,56.01,8.94,17.74,64.08,59.75,0,
Cassoulet for 10,45,,,10,58.0,590.69,49.32,9.42,5.64,43.21,24.25,0,
Almond Crusted Salmon Fillets with Roasted Broccolini,45,,,2,56.0,679.72,29.75,4.91,2.11,46.58,41.76,0,
Carrot-sesame seed bread,75,,,8,54.0,272.54,46.5,4.34,2.75,7.82,6.65,0,
Kobocha Squash and Ginger Soup,45,,,6,54.0,357.66,38.79,6.41,11.86,14.1,17.68,0,
Cod and Potato Oreganata,30,15,15,4,54.0,463.2,78.21,9.29,7.65,11.55,13.12,0,
Broccoli With Sautéed Bread Crumbs & Garlic,45,,,4,52.0,405.15,32.18,5.36,4.58,17.72,24.14,0,
Alouette® Stuffed Mushroom Caps,45,,,8,52.0,30.37,5.54,1.48,1.06,1.89,0.45,0,
Chunky Tomato Gazpacho,45,,,6,51.0,340.0,34.83,12.05,9.59,7.37,21.67,0,
Strawberry and Chocolate Chip Panini,45,,,1,49.0,523.0,78.13,5.7,13.53,14.79,17.82,0,
Lightened Up Salmon Cakes,45,,,4,49.0,409.04,37.64,6.32,9.46,30.78,17.96,0,
The Best Of England Salad,45,,,1,49.0,915.67,77.55,10.26,18.6,32.12,55.32,0,
Poached Egg With Spinach and Tomato,20,10,10,2,49.0,314.02,21.97,6.24,3.77,14.59,19.99,0,
Salmon Amaranth Burgers with Radish Slaw,26,,,6,49.0,311.46,33.85,2.68,4.45,23.16,8.83,0,
Bobby Flay's Meatball & Sauce,45,,,4,48.0,726.86,28.21,6.45,12.99,41.2,50.7,0,
"Summer Ricotta Flatbread w Cucumber, Tomato & Scallion",45,,,1,48.0,317.14,58.55,5.56,12.75,13.41,5.43,0,
"Open-Face Egg Sandwich with Bacon, Asparagus, and Pesto",45,,,4,47.0,654.2,47.26,6.41,7.65,26.72,41.71,0,
Sprouted Grain Chicken Pesto Sandwich,20,,,6,46.0,545.69,51.6,10.93,13.2,40.75,20.54,0,
Chicken Stew with a Herb Crust,85,,,4,46.0,862.07,73.33,10.19,20.74,58.04,33.78,0,
Cheesy Chicken and Vegetable Quinoa,45,,,8,46.0,329.62,38.04,4.28,5.59,22.7,10.01,0,
Chicken Shawarma Bowl,45,,,4,46.0,654.05,97.34,9.3,8.56,37.2,13.37,0,
Panzanella Salad,45,,,4,45.0,657.42,97.11,4.87,10.68,23.38,20.0,0,
Stuffed Baby Eggplant,45,,,8,44.0,451.35,50.1,13.8,14.47,18.17,20.47,0,
Turkey and Rice Stuffed Acorn Squash,45,,,6,44.0,411.1,57.48,5.8,1.06,28.65,9.76,0,
Oven Baked Salmon with Broccoli (Sheet Pan ),30,15,15,2,44.0,439.31,16.93,3.76,2.91,29.65,28.64,0,
Baked Stuffed Zucchini By Angie's,45,,,4,42.0,702.52,64.49,7.87,17.31,32.98,35.99,0,
Salmon Burgers With Roasted Red Pepper Aioli,45,,,2,41.0,537.09,14.52,1.58,1.72,39.5,34.72,0,
Sun-Dried Tomato and Leek Quiche,45,,,4,41.0,681.21,59.87,8.63,6.74,20.11,42.81,0,
Grilled Fattoush,45,,,6,41.0,294.84,29.0,5.34,7.08,8.58,17.67,0,
Garlic-Parmesan Artichokes,45,,,1,41.0,643.72,81.38,23.27,8.55,21.43,15.11,0,
Polla alla Parmigiana: Chicken Parmesan,45,,,6,40.0,619.33,48.29,5.23,9.81,45.8,26.92,0,
Masala-Tofu Burger,45,,,4,40.0,494.93,84.97,10.25,17.43,18.73,10.53,0,
Kale and Chickpea Soup with Lemon,45,,,4,39.0,290.33,25.95,7.37,3.43,15.87,14.76,0,
Herb and Cheddar Cordon Bleu,60,,,2,39.0,661.47,46.72,3.82,2.12,68.42,20.56,0,
